"ca","k","MAP","A"
400,0.1,365,8.01294142966521
400,0.1,730,10.641941875127
400,0.1,1095,11.7629302716381
400,0.1,1460,12.3139414616739
400,0.1,1825,12.5949221183777
400,0.1,2190,12.7289477679735
400,0.1,2555,12.7739337897109
400,0.1,2920,12.7609258744259
400,0.1,3285,12.7089183869942
400,0.1,3650,12.6279522056904
